,HR
2082,68.12
2083,68.23
2084,68.37
2085,68.5
2086,68.63
2087,68.77
2088,68.9
2089,69.02
2090,69.13
2091,69.25
2092,69.37
2093,69.43
2094,69.5
2095,69.55
2096,69.58
2097,69.6
2098,69.6
2099,69.58
2100,69.55
2101,69.52
2102,69.45
2103,69.37
2104,69.28
2105,69.18
2106,69.1
2107,69.02
2108,68.93
2109,68.85
2110,68.77
2111,68.7
2112,68.65
2113,68.62
2114,68.58
2115,68.55
2116,68.53
2117,68.52
2118,68.52
2119,68.52
2120,68.52
2121,68.48
2122,68.45
2123,68.4
2124,68.33
2125,68.27
2126,68.18
2127,68.08
2128,67.97
2129,67.85
2130,67.72
2131,67.58
2132,67.43
2133,67.3
2134,67.17
2135,67.05
2136,66.93
2137,66.8
2138,66.65
